名字,代码,价格,昨收,今开,成交量,外盘,内盘,买一,买一量,买二,买二量,买三,买三量,买四,买四量,买五,买五量,卖一,卖一量,卖二,卖二量,卖三,卖三量,卖四,卖四量,卖五,卖五量,卖三,卖三量,卖四,卖四量,涨跌,涨跌幅,最高,最低,成交量,成交额,换手率,市盈率,最高,最低,振幅,流通值,市值,市净率
金隅股份,sh601992,6.73,6.62,6.72,441751,205180,236572,6.72,644,6.71,2194,6.70,2445,6.69,1338,6.68,1741,6.73,142,6.74,1278,6.75,1771,6.76,2864,6.77,3378,0.11,1.66,6.90,6.70,441751,29853,1.42,9.77,6.90,6.70,3.02,209.40,322.01,1.07
亿阳信通,sh600289,11.00,10.80,10.93,240278,126243,114035,11.00,34,10.99,1708,10.98,1790,10.97,783,10.96,964,11.01,656,11.02,1887,11.03,1802,11.04,512,11.05,1964,0.20,1.85,11.09,10.82,240278,26411,4.23,56.95,11.09,10.82,2.50,62.41,62.41,3.36
阳煤化工,sh600691,5.47,5.42,5.41,173375,93734,79641,5.47,235,5.46,1899,5.45,2711,5.44,4121,5.43,4982,5.48,2352,5.49,3207,5.50,4923,5.51,500,5.52,1519,0.05,0.92,5.49,5.40,173375,9450,1.92,,5.49,5.40,1.66,49.37,80.29,1.83
金山股份,sh600396,4.98,4.98,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0.00,13.39,0.00,0.00,0.00,33.92,43.26,2.11
香江控股,sh600162,5.81,5.71,5.79,202572,92286,110286,5.81,566,5.80,1302,5.79,2137,5.78,1682,5.77,1128,5.82,2455,5.83,1521,5.84,2197,5.85,5854,5.86,1558,0.10,1.75,5.88,5.72,202572,11721,2.64,22.50,5.88,5.72,2.80,44.61,44.61,2.64
重庆路桥,sh600106,4.68,4.63,4.63,186777,104291,82486,4.67,2158,4.66,7952,4.65,4813,4.64,1866,4.63,2140,4.68,58,4.69,3873,4.70,4783,4.71,1082,4.72,2008,0.05,1.08,4.69,4.62,186777,8703,2.06,14.08,4.69,4.62,1.51,42.48,42.48,1.83
外运发展,sh600270,16.27,15.98,16.36,202006,95380,106626,16.26,200,16.25,84,16.24,100,16.23,75,16.22,15,16.27,105,16.29,50,16.31,97,16.32,237,16.33,476,0.29,1.81,16.54,15.93,202006,32940,6.11,25.02,16.54,15.93,3.82,53.83,147.32,2.51
*ST仪化,sh600871,4.69,4.80,4.70,623599,318242,305356,4.68,2723,4.67,1645,4.66,1214,4.65,2292,4.64,963,4.69,640,4.70,1014,4.71,1349,4.72,1329,4.73,2431,-0.11,-2.29,4.76,4.56,623599,29019,13.86,,4.76,4.56,4.17,21.11,281.40,5.26
杭齿前进,sh601177,8.87,8.82,8.84,44986,22962,22024,8.87,4,8.86,501,8.85,56,8.84,291,8.83,234,8.88,569,8.89,73,8.90,279,8.91,228,8.92,182,0.05,0.57,8.89,8.61,44986,3951,1.12,120.54,8.89,8.61,3.17,35.49,35.49,2.05
广船国际,sh600685,17.13,17.13,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0.00,,0.00,0.00,0.00,75.11,176.53,3.42
中国嘉陵,sh600877,7.69,7.65,7.67,233453,114818,118636,7.68,984,7.67,111,7.66,387,7.65,333,7.64,770,7.69,670,7.70,4067,7.71,2518,7.72,1217,7.73,1356,0.04,0.52,7.75,7.48,233453,17811,3.40,,7.75,7.48,3.53,52.85,52.85,33.91
啤酒花,sh600090,8.13,8.13,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0.00,48.40,0.00,0.00,0.00,29.91,29.91,5.24
长春一东,sh600148,17.05,16.95,16.88,50965,25166,25798,17.03,302,17.02,29,17.01,20,17.00,79,16.98,22,17.05,28,17.06,16,17.08,49,17.09,77,17.10,150,0.10,0.59,17.19,16.31,50965,8554,3.60,63.72,17.19,16.31,5.19,24.13,24.13,6.90
兰州民百,sh600738,7.22,7.12,7.12,99149,52561,46588,7.22,64,7.21,53,7.20,428,7.19,287,7.18,346,7.23,1045,7.24,754,7.25,860,7.26,449,7.27,350,0.10,1.40,7.23,7.05,99149,7092,3.78,25.59,7.23,7.05,2.53,18.92,26.63,2.53
维维股份,sh600300,5.48,5.48,5.45,302748,124979,177769,5.48,935,5.47,96,5.46,1818,5.45,4791,5.44,2456,5.49,1520,5.50,3282,5.51,2656,5.52,1691,5.53,1407,0.00,0.00,5.58,5.36,302748,16542,1.81,844.01,5.58,5.36,4.01,91.63,91.63,3.66
龙元建设,sh600491,4.37,4.18,4.22,367697,209533,158164,4.36,403,4.35,867,4.34,1192,4.33,3616,4.32,2219,4.37,4996,4.38,5798,4.39,4045,4.40,5191,4.41,1425,0.19,4.55,4.37,4.20,367697,15881,3.88,18.78,4.37,4.20,4.07,41.41,41.41,1.32
上海科技,sh600608,8.31,8.30,8.31,74930,35034,39896,8.31,12,8.29,94,8.28,121,8.27,149,8.26,150,8.32,103,8.33,261,8.34,547,8.35,1247,8.36,443,0.01,0.12,8.35,8.15,74930,6176,2.35,326.47,8.35,8.15,2.41,26.46,27.33,-230.83
中昌海运,sh600242,8.59,8.41,8.41,103207,55642,47565,8.59,391,8.58,425,8.57,60,8.56,114,8.55,201,8.60,1582,8.61,172,8.62,156,8.63,175,8.64,73,0.18,2.14,8.60,8.26,103207,8737,3.87,,8.60,8.26,4.04,22.93,23.48,10.89
科力远,sh600478,24.25,23.57,23.67,75103,37567,37536,24.24,2,24.22,26,24.20,126,24.19,33,24.18,90,24.25,119,24.26,16,24.27,76,24.28,463,24.29,217,0.68,2.89,24.46,23.66,75103,18132,1.59,1468.66,24.46,23.66,3.39,114.52,114.52,7.89
哈飞股份,sh600038,36.19,35.20,35.15,64428,31928,32500,36.18,2,36.14,36,36.13,20,36.12,103,36.11,100,36.19,120,36.20,234,36.21,5,36.22,19,36.23,19,0.99,2.81,36.50,35.15,64428,23187,1.91,61.79,36.50,35.15,3.84,122.09,213.33,3.57
佳都科技,sh600728,15.94,15.94,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0.00,69.53,0.00,0.00,0.00,57.83,79.66,7.23
华纺股份,sh600448,6.25,6.30,6.30,60908,24718,36190,6.25,8,6.24,664,6.23,561,6.22,1224,6.21,1109,6.26,720,6.27,248,6.28,191,6.29,290,6.30,663,-0.05,-0.79,6.44,6.18,60908,3818,1.90,126.67,6.44,6.18,4.13,19.99,26.40,3.26
川投能源,sh600674,18.28,17.76,17.78,181222,91710,89512,18.27,0,18.26,286,18.25,301,18.24,60,18.23,352,18.28,683,18.29,765,18.30,1053,18.31,50,18.32,1,0.52,2.93,18.49,17.78,181222,33093,0.82,24.24,18.49,17.78,4.00,402.36,402.36,3.34
*ST新业,sh600075,7.17,6.97,7.00,59092,34742,24350,7.17,61,7.16,536,7.15,242,7.14,138,7.13,500,7.18,647,7.19,749,7.20,748,7.21,706,7.22,67,0.20,2.87,7.18,6.91,59092,4177,1.35,,7.18,6.91,3.87,31.45,31.45,2.04
宁沪高速,sh600377,6.11,6.10,6.10,104082,42613,61469,6.10,690,6.09,137,6.08,309,6.07,1927,6.06,2356,6.11,132,6.12,1821,6.13,1291,6.14,1506,6.15,1533,0.01,0.16,6.12,6.06,104082,6334,0.27,11.76,6.12,6.06,0.98,231.74,307.81,1.62
成发科技,sh600391,25.01,25.36,23.66,327999,159278,168722,25.00,583,24.99,307,24.98,155,24.97,74,24.96,53,25.02,80,25.03,14,25.04,223,25.05,779,25.06,454,-0.35,-1.38,25.40,23.66,327999,81017,9.94,249.28,25.40,23.66,6.86,82.57,82.57,4.94
天药股份,sh600488,5.89,5.72,5.74,193099,106958,86140,5.88,811,5.87,623,5.86,352,5.85,704,5.84,46,5.89,519,5.90,1994,5.91,1606,5.92,1553,5.93,1345,0.17,2.97,5.92,5.67,193099,11238,2.16,103.33,5.92,5.67,4.37,52.56,56.59,2.44
亨通光电,sh600487,19.24,19.20,19.11,15596,7134,8462,19.22,14,19.21,56,19.20,723,19.19,76,19.18,23,19.23,33,19.25,67,19.26,154,19.27,30,19.28,15,0.04,0.21,19.37,19.00,15596,2992,0.50,25.32,19.37,19.00,1.93,59.76,79.61,2.07
ST景谷,sh600265,14.02,13.35,13.28,26657,14512,12144,14.02,2274,13.98,41,13.92,10,13.91,37,13.90,100,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.67,5.02,14.02,13.18,26657,3630,2.05,117.27,14.02,13.18,6.29,18.20,18.20,83.90
豫光金铅,sh600531,13.66,13.72,13.65,81244,33855,47389,13.65,55,13.64,101,13.63,74,13.62,30,13.61,93,13.66,34,13.67,226,13.68,160,13.69,190,13.70,240,-0.06,-0.44,13.66,13.30,81244,10958,2.75,,13.66,13.30,2.62,40.33,40.33,2.97
红星发展,sh600367,11.02,10.80,10.82,94173,53228,40944,11.02,256,11.01,324,11.00,92,10.99,58,10.98,76,11.03,333,11.04,794,11.05,816,11.06,259,11.07,325,0.22,2.04,11.04,10.74,94173,10275,3.23,133.24,11.04,10.74,2.78,32.09,32.09,2.69
中视传媒,sh600088,20.10,20.27,20.27,53428,25770,27658,20.08,544,20.07,86,20.06,35,20.05,167,20.04,140,20.09,60,20.11,116,20.12,145,20.13,171,20.14,77,-0.17,-0.84,20.27,19.80,53428,10687,1.61,127.02,20.27,19.80,2.32,66.62,66.62,5.99
迪马股份,sh600565,4.67,4.56,4.61,305507,175914,129592,4.66,2434,4.65,997,4.64,2880,4.63,2089,4.62,1595,4.67,46,4.68,2395,4.69,2662,4.70,7501,4.71,2734,0.11,2.41,4.76,4.61,305507,14288,4.24,67.84,4.76,4.61,3.29,33.62,109.55,2.07
中铁二局,sh600528,5.98,5.92,5.96,201499,103400,98098,5.97,463,5.96,2645,5.95,2294,5.94,2065,5.93,2156,5.98,2619,5.99,5197,6.00,5879,6.01,1613,6.02,1718,0.06,1.01,5.98,5.90,201499,11987,1.38,20.49,5.98,5.90,1.35,87.26,87.26,1.46
中国南车,sh601766,5.30,5.26,5.26,682827,345036,337792,5.29,7284,5.28,12467,5.27,12894,5.26,10493,5.25,11524,5.30,9614,5.31,22607,5.32,15830,5.33,23117,5.34,12086,0.04,0.76,5.33,5.25,682827,36135,0.66,15.43,5.33,5.25,1.52,552.10,731.56,1.96
